Timestamp,Camera_FPS,Sampling_FPS,Inference_FPS,Latency_MS
"2026-09-22T20:48:03.408Z",19.84,6.99,6.99,103
"2026-09-22T20:48:04.414Z",19.63,6.97,6.97,112
"2026-09-22T20:48:05.413Z",19.68,6.99,6.99,111
"2026-09-22T20:48:06.414Z",21.73,7,7,109
"2026-09-22T20:48:07.414Z",22.43,7,7,100
"2026-09-22T20:48:08.414Z",20.44,7,7,110
"2026-09-22T20:48:09.415Z",18.3,7,7,107
"2026-09-22T20:48:10.415Z",15.58,6.99,6.99,104
"2026-09-22T20:48:11.415Z",17.54,7,7,109
"2026-09-22T20:48:12.415Z",17.2,7,7,107
"2026-09-22T20:48:13.420Z",18.19,6.97,6.97,103
"2026-09-22T20:48:14.531Z",21.59,7.19,7.19,110
"2026-09-22T20:48:15.532Z",21.89,7,7,107
"2026-09-22T20:48:16.532Z",22.96,7,7,107
"2026-09-22T20:48:17.533Z",19.91,6.99,6.99,110
"2026-09-22T20:48:18.533Z",20.35,7,7,109
"2026-09-22T20:48:19.533Z",21.27,7,7,103
"2026-09-22T20:48:20.534Z",19.75,7,7,106
"2026-09-22T20:48:21.536Z",21.76,6.98,6.98,107
"2026-09-22T20:48:22.537Z",19.97,7,7,110
"2026-09-22T20:48:23.537Z",20.38,6.99,6.99,102
"2026-09-22T20:48:24.640Z",19.55,7.25,7.25,101
"2026-09-22T20:48:25.654Z",19.62,6.91,6.91,114
"2026-09-22T20:48:26.655Z",17.6,7,7,109
"2026-09-22T20:48:27.669Z",16.73,6.9,6.9,104
"2026-09-22T20:48:28.669Z",17.95,6.99,6.99,103
"2026-09-22T20:48:29.782Z",18.91,7.19,7.19,111
"2026-09-22T20:48:30.782Z",22.34,7,7,103
"2026-09-22T20:48:31.782Z",21.72,7,7,104
"2026-09-22T20:48:32.783Z",18.9,7,7,107
"2026-09-22T20:48:33.783Z",19.18,6.99,6.99,105
"2026-09-22T20:48:34.784Z",18.08,7,7,105
"2026-09-22T20:48:35.785Z",19.72,7,7,104
"2026-09-22T20:48:36.785Z",20.08,6.99,6.99,110
"2026-09-22T20:48:37.787Z",20.64,6.99,6.99,106
"2026-09-22T20:48:38.892Z",19.01,7.23,7.23,103
"2026-09-22T20:48:39.895Z",20.41,6.99,6.99,107
"2026-09-22T20:48:40.894Z",21.4,7,7,104
"2026-09-22T20:48:41.895Z",25.13,7,7,104
"2026-09-22T20:48:42.895Z",24.26,7,7,107
"2026-09-22T20:48:43.895Z",21.45,7,7,111
"2026-09-22T20:48:44.895Z",19.82,7,7,102
"2026-09-22T20:48:45.896Z",18.68,6.99,6.99,106
"2026-09-22T20:48:46.896Z",18.82,7,7,102
"2026-09-22T20:48:47.897Z",22.08,6.99,6.99,102
"2026-09-22T20:48:48.897Z",22.39,7,7,110
"2026-09-22T20:48:49.903Z",23.18,6.95,6.95,101
"2026-09-22T20:48:51.015Z",22.02,7.2,7.2,109
"2026-09-22T20:48:52.015Z",20.38,7,7,102
"2026-09-22T20:48:53.015Z",20.43,6.99,6.99,101
"2026-09-22T20:48:54.016Z",21.33,7.01,7.01,108
"2026-09-22T20:48:55.019Z",21.23,6.97,6.97,107
"2026-09-22T20:48:56.020Z",20.03,7,7,103
"2026-09-22T20:48:57.036Z",24.14,6.88,6.88,106
"2026-09-22T20:48:58.143Z",23.19,7.23,7.23,109
"2026-09-22T20:48:59.143Z",26.23,7,7,108
"2026-09-22T20:49:00.143Z",27.4,7,7,102
"2026-09-22T20:49:01.143Z",25.62,7,7,109
"2026-09-22T20:49:02.143Z",25.71,6.99,6.99,102
"2026-09-22T20:49:03.144Z",21.22,7.01,7.01,103
"2026-09-22T20:49:04.144Z",18.03,7,7,106
