Timestamp,Camera_FPS,Sampling_FPS,Inference_FPS,Latency_MS
"2026-09-23T14:09:54.585Z",10.33,9,9,100
"2026-09-23T14:09:55.584Z",10.25,9,9,98
"2026-09-23T14:09:56.586Z",8.94,8.99,8.99,102
"2026-09-23T14:09:57.586Z",7.26,8.99,8.99,101
"2026-09-23T14:09:58.588Z",7.35,8.99,8.99,102
"2026-09-23T14:09:59.587Z",7.36,9,9,98
"2026-09-23T14:10:00.590Z",7.19,8.97,8.97,102
"2026-09-23T14:10:01.591Z",6.94,8.98,8.98,101
"2026-09-23T14:10:02.601Z",6.89,8.92,8.92,102
"2026-09-23T14:10:03.602Z",10.23,9,9,99
"2026-09-23T14:10:04.601Z",11.79,9,9,98
"2026-09-23T14:10:05.608Z",11.93,8.93,8.93,98
"2026-09-23T14:10:06.609Z",12.13,9,9,105
"2026-09-23T14:10:07.615Z",10.15,8.95,8.95,110
"2026-09-23T14:10:08.616Z",7.2,9,9,103
"2026-09-23T14:10:09.616Z",7.77,9,9,102
"2026-09-23T14:10:10.616Z",11.41,8.99,8.99,101
"2026-09-23T14:10:11.616Z",13.31,9,9,100
"2026-09-23T14:10:12.616Z",12.79,9,9,101
"2026-09-23T14:10:13.616Z",12.36,8.99,8.99,100
"2026-09-23T14:10:14.617Z",10.28,9,9,101
"2026-09-23T14:10:15.617Z",6.7,9,9,98
"2026-09-23T14:10:16.617Z",7.03,9,9,99
"2026-09-23T14:10:17.618Z",7.1,9,9,99
"2026-09-23T14:10:18.618Z",8.85,8.99,8.99,100
"2026-09-23T14:10:19.621Z",10.6,8.97,8.97,101
"2026-09-23T14:10:20.624Z",12.23,8.97,8.97,102
"2026-09-23T14:10:21.625Z",11.98,9,9,98
"2026-09-23T14:10:22.625Z",11.91,9,9,98
"2026-09-23T14:10:23.625Z",10.12,8.99,8.99,98
"2026-09-23T14:10:24.625Z",8.44,9,9,97
"2026-09-23T14:10:25.627Z",6.55,8.98,8.98,100
"2026-09-23T14:10:26.629Z",6.55,8.99,8.99,99
"2026-09-23T14:10:27.634Z",6.62,8.94,8.94,105
"2026-09-23T14:10:28.634Z",6.55,9.01,9.01,103
"2026-09-23T14:10:29.634Z",6.58,9,9,101
"2026-09-23T14:10:30.635Z",6.78,8.99,8.99,99
"2026-09-23T14:10:31.638Z",7.35,8.97,8.97,104
"2026-09-23T14:10:32.639Z",7.49,9,9,103
"2026-09-23T14:10:33.640Z",7.43,8.99,8.99,103
"2026-09-23T14:10:34.641Z",7.26,8.99,8.99,102
"2026-09-23T14:10:35.644Z",7.16,8.96,8.96,103
"2026-09-23T14:10:36.645Z",6.94,8.99,8.99,105
"2026-09-23T14:10:37.645Z",6.73,9,9,99
"2026-09-23T14:10:38.647Z",6.89,8.99,8.99,102
"2026-09-23T14:10:39.680Z",6.9,8.71,8.71,109
"2026-09-23T14:10:40.680Z",6.78,8.99,8.99,102
"2026-09-23T14:10:41.681Z",6.6,9,9,100
"2026-09-23T14:10:42.680Z",6.6,9,9,104
"2026-09-23T14:10:43.681Z",6.71,8.99,8.99,100
"2026-09-23T14:10:44.681Z",6.75,9,9,98
"2026-09-23T14:10:45.681Z",7.65,9,9,98
"2026-09-23T14:10:46.682Z",7.88,9,9,101
"2026-09-23T14:10:47.683Z",7.91,8.98,8.98,102
"2026-09-23T14:10:48.683Z",7.72,9,9,99
"2026-09-23T14:10:49.687Z",7.3,8.96,8.96,103
"2026-09-23T14:10:50.687Z",6.74,9,9,102
"2026-09-23T14:10:51.689Z",6.57,8.97,8.97,103
"2026-09-23T14:10:52.690Z",6.57,9,9,103
"2026-09-23T14:10:53.690Z",6.4,9,9,101
"2026-09-23T14:10:54.690Z",6.73,9,9,97
"2026-09-23T14:10:55.695Z",6.89,8.96,8.96,104
