Timestamp,Camera_FPS,Sampling_FPS,Inference_FPS,Latency_MS
"2026-09-22T18:39:34.944Z",9.75,7.98,7.98,101
"2026-09-22T18:39:35.945Z",13.17,8,8,101
"2026-09-22T18:39:36.944Z",16.73,7.99,7.99,98
"2026-09-22T18:39:37.946Z",16.78,7.98,7.98,101
"2026-09-22T18:39:38.949Z",13.41,7.98,7.98,100
"2026-09-22T18:39:39.953Z",11.68,7.98,7.98,101
"2026-09-22T18:39:40.956Z",8.04,7.98,7.98,103
"2026-09-22T18:39:41.960Z",8.04,7.96,7.96,102
"2026-09-22T18:39:42.960Z",8.04,8,8,99
"2026-09-22T18:39:43.962Z",8.06,7.99,7.99,102
"2026-09-22T18:39:44.962Z",11.72,7.99,7.99,97
"2026-09-22T18:39:45.964Z",13.5,7.98,7.98,99
"2026-09-22T18:39:46.967Z",15.22,7.98,7.98,101
"2026-09-22T18:39:47.969Z",15.2,7.99,7.99,99
"2026-09-22T18:39:48.974Z",13.52,7.96,7.96,103
"2026-09-22T18:39:49.977Z",13.55,7.98,7.98,103
"2026-09-22T18:39:50.978Z",11.86,7.98,7.98,102
"2026-09-22T18:39:51.979Z",10.02,8,8,96
"2026-09-22T18:39:52.984Z",8.03,7.95,7.95,104
"2026-09-22T18:39:53.984Z",8,8,8,96
"2026-09-22T18:39:54.986Z",9.9,7.98,7.98,102
"2026-09-22T18:39:55.990Z",11.56,7.97,7.97,102
"2026-09-22T18:39:56.991Z",14.99,7.99,7.99,100
"2026-09-22T18:39:57.995Z",16.7,7.97,7.97,103
"2026-09-22T18:39:58.998Z",15.03,7.98,7.98,102
"2026-09-22T18:39:59.998Z",15.89,8,8,98
"2026-09-22T18:40:01.003Z",17.7,7.96,7.96,104
"2026-09-22T18:40:02.002Z",20.16,8.01,8.01,101
"2026-09-22T18:40:03.006Z",23.28,7.97,7.97,100
"2026-09-22T18:40:04.009Z",17.19,7.98,7.98,102
"2026-09-22T18:40:05.011Z",12.97,7.98,7.98,101
"2026-09-22T18:40:06.014Z",9.77,7.98,7.98,102
"2026-09-22T18:40:07.017Z",13.23,7.97,7.97,102
"2026-09-22T18:40:08.019Z",16.76,7.98,7.98,102
"2026-09-22T18:40:09.020Z",16.77,8,8,100
"2026-09-22T18:40:10.037Z",15.09,7.87,7.87,115
"2026-09-22T18:40:11.037Z",11.66,7.99,7.99,103
"2026-09-22T18:40:12.037Z",9.85,8,8,102
"2026-09-22T18:40:13.037Z",8.02,7.99,7.99,103
"2026-09-22T18:40:14.038Z",8.02,8,8,101
"2026-09-22T18:40:15.038Z",8,8.01,8.01,102
"2026-09-22T18:40:16.039Z",7.99,7.99,7.99,103
"2026-09-22T18:40:17.038Z",11.26,8,8,96
"2026-09-22T18:40:18.040Z",14.92,7.98,7.98,101
"2026-09-22T18:40:19.045Z",18.61,7.97,7.97,102
"2026-09-22T18:40:20.046Z",17.07,7.99,7.99,101
"2026-09-22T18:40:21.047Z",18.45,8,8,98
"2026-09-22T18:40:22.052Z",14.84,7.95,7.95,100
"2026-09-22T18:40:23.052Z",17.22,7.99,7.99,98
"2026-09-22T18:40:24.060Z",14.85,7.94,7.94,105
"2026-09-22T18:40:25.061Z",12.16,7.99,7.99,100
"2026-09-22T18:40:26.061Z",8.1,8,8,98
"2026-09-22T18:40:27.061Z",11.62,7.99,7.99,96
"2026-09-22T18:40:28.065Z",13.4,7.98,7.98,100
"2026-09-22T18:40:29.070Z",15.11,7.96,7.96,101
"2026-09-22T18:40:30.073Z",13.35,7.98,7.98,101
"2026-09-22T18:40:31.081Z",11.55,7.94,7.94,107
"2026-09-22T18:40:32.082Z",9.73,7.99,7.99,102
"2026-09-22T18:40:33.081Z",8,8,8,101
"2026-09-22T18:40:34.083Z",8.04,7.99,7.99,102
"2026-09-22T18:40:35.083Z",8.04,7.98,7.98,100
